sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
1,"Finance Managers, Others",1211.99,1231.9,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"Finance Managers, Others plan, manage, and analyze financial data for individuals, businesses, and institutions. They develop and oversee financial strategies, manage investments, and conduct quantitative analysis. Their responsibilities include financial planning, investment oversight, and accounting administration.","The occupation Finance Managers, Others NCO 2015: 1211.9900, NCO 2004: 1231.9 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: Finance Managers, Others plan, manage, and analyze financial data for individuals, businesses, and institutions. They develop and oversee financial strategies, manage investments, and conduct quantitative analysis. Their responsibilities include financial planning, investment oversight, and accounting administration."
2,"General Manager, Bank",1211.01,1307.1,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"General Manager, Bank, organizes, manages, and controls the financial operations of a bank enterprise. They oversee all financial activities, including planning, direct, and coordinating tasks related to the bank’s business services and administration. This role involves strategic decision-making and collaboration with senior management and other departments.","The occupation General Manager, Bank NCO 2015: 1211.0100, NCO 2004: 1307.10 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: General Manager, Bank, organizes, manages, and controls the financial operations of a bank enterprise. They oversee all financial activities, including planning, direct, and coordinating tasks related to the bank’s business services and administration. This role involves strategic decision-making and collaboration with senior management and other departments."
3,"General Manager, Insurance",1211.02,1307.2,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"Licensed Insurance Representative: This role involves securing insurance business through client contact and proposal generation. The individual procures insurance policies by explaining benefits and arranging medical examinations, property inspections, and other policy stipulations. They collect advance deposits, manage business records, and assist policyholders with claims settlement and commission collection.  Guidance from supervisors is often sought.","The occupation General Manager, Insurance NCO 2015: 1211.0200, NCO 2004: 1307.20 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: Licensed Insurance Representative: This role involves securing insurance business through client contact and proposal generation. The individual procures insurance policies by explaining benefits and arranging medical examinations, property inspections, and other policy stipulations. They collect advance deposits, manage business records, and assist policyholders with claims settlement and commission collection.  Guidance from supervisors is often sought."
4,"Purser, Ship",1211.03,1231.1,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"Purser, Ship is an Administrative and Commercial Manager responsible for overseeing the accounts and correspondence related to a ship. Their primary duties include managing ship personnel’s pay, reviewing reports, preparing portage bills, and distributing mail. They ensure proper pay administration and account handling, supervising luggage storage and removal.","The occupation Purser, Ship NCO 2015: 1211.0300, NCO 2004: 1231.10 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: Purser, Ship is an Administrative and Commercial Manager responsible for overseeing the accounts and correspondence related to a ship. Their primary duties include managing ship personnel’s pay, reviewing reports, preparing portage bills, and distributing mail. They ensure proper pay administration and account handling, supervising luggage storage and removal."
5,"Director, Construction",1120.13,1213.5,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Manager, Construction oversees the planning, execution, and coordination of construction projects, including civil engineering works like buildings and dwellings. This role involves supervising construction activities within defined parameters and powers. The primary duty is to direct and coordinate public and private organizations’ construction endeavors, encompassing tasks such as excavation, construction, and maintenance of infrastructure projects like roads, railways, and bridges.","The occupation Director, Construction NCO 2015: 1120.1300, NCO 2004: 1213.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Manager, Construction oversees the planning, execution, and coordination of construction projects, including civil engineering works like buildings and dwellings. This role involves supervising construction activities within defined parameters and powers. The primary duty is to direct and coordinate public and private organizations’ construction endeavors, encompassing tasks such as excavation, construction, and maintenance of infrastructure projects like roads, railways, and bridges."
6,"Working Proprietor, Lodging and Catering Services",1120.29,1217.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Manager, Lodging and Catering Services oversees the operations of hotels and restaurants, ensuring efficient management of staff, resources, and guest services. They plan, organize, and direct the daily activities of establishments providing accommodation and hospitality.  The role focuses on maximizing guest satisfaction and operational efficiency within a public or private organization.","The occupation Working Proprietor, Lodging and Catering Services NCO 2015: 1120.2900, NCO 2004: 1217.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Manager, Lodging and Catering Services oversees the operations of hotels and restaurants, ensuring efficient management of staff, resources, and guest services. They plan, organize, and direct the daily activities of establishments providing accommodation and hospitality.  The role focuses on maximizing guest satisfaction and operational efficiency within a public or private organization."
7,"Director, Mines",1120.14,1213.6,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Mines: This role centers on overseeing outdoor filming locations for film and stage productions. The director manages the setup of sets and ensures the coordination of various staff involved in the production process. Responsibilities include financial management, including staff payments and material procurement. They also specialize in directing specific types of films, such as mythological, social, or historical works, and may handle business management tasks related to production.","The occupation Director, Mines NCO 2015: 1120.1400, NCO 2004: 1213.60 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Mines: This role centers on overseeing outdoor filming locations for film and stage productions. The director manages the setup of sets and ensures the coordination of various staff involved in the production process. Responsibilities include financial management, including staff payments and material procurement. They also specialize in directing specific types of films, such as mythological, social, or historical works, and may handle business management tasks related to production."
8,"Director, Lodging and Catering Services/Director Food and Beverage Service",1120.3,1217.2,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Resident Manager of Lodging and Catering Services. This role involves planning, organizing, and directing the operations of hotels, motels, and similar establishments to provide guest accommodation and related services. Responsibilities include managing staff, overseeing guest satisfaction, and ensuring efficient resource utilization. The role requires strong leadership, organizational, and supervisory skills.","The occupation Director, Lodging and Catering Services/Director Food and Beverage Service NCO 2015: 1120.3000, NCO 2004: 1217.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Resident Manager of Lodging and Catering Services. This role involves planning, organizing, and directing the operations of hotels, motels, and similar establishments to provide guest accommodation and related services. Responsibilities include managing staff, overseeing guest satisfaction, and ensuring efficient resource utilization. The role requires strong leadership, organizational, and supervisory skills."
9,"Managing Directors and Chief Executives, Others",1120.99,1211.9,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Directors and Chief Executives are responsible for overseeing the strategic direction and operational activities of organizations, including enterprises and groups. They formulate policies, plan initiatives, direct and coordinate activities, and evaluate results, with support from other managers adhering to established guidelines set by a Board of Directors or governing body.","The occupation Managing Directors and Chief Executives, Others NCO 2015: 1120.9900, NCO 2004: 1211.90 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Directors and Chief Executives are responsible for overseeing the strategic direction and operational activities of organizations, including enterprises and groups. They formulate policies, plan initiatives, direct and coordinate activities, and evaluate results, with support from other managers adhering to established guidelines set by a Board of Directors or governing body."
10,"Director, Quarry",1120.15,1213.7,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Quarry plans and directs activities within powers delegated for public or private organizations involved in quarrying stone, slate, clay, and sand. This role involves overseeing the overall management and operations of quarries, including planning, directing, and coordinating activities related to excavation and extraction. The position is held by a Managing Director and Senior Official within the Quarry Management group.","The occupation Director, Quarry NCO 2015: 1120.1500, NCO 2004: 1213.70 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Quarry plans and directs activities within powers delegated for public or private organizations involved in quarrying stone, slate, clay, and sand. This role involves overseeing the overall management and operations of quarries, including planning, directing, and coordinating activities related to excavation and extraction. The position is held by a Managing Director and Senior Official within the Quarry Management group."
