"sno","occupation_title","nco_2015","nco_2004","division","subdivision","group","family"
"1","Finance Managers, Others","1211.9900","1231.9","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Finance Managers"
"2","General Manager, Bank","1211.0100","1307.10","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Finance Managers"
"3","General Manager, Insurance","1211.0200","1307.20","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Finance Managers"
"4","Purser, Ship","1211.0300","1231.10","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Finance Managers"
"5","Director, Construction","1120.1300","1213.50","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"6","Working Proprietor, Lodging and Catering Services","1120.2900","1217.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"7","Director, Mines","1120.1400","1213.60","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"8","Director, Lodging and Catering Services/Director Food and Beverage Service","1120.3000","1217.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"9","Managing Directors and Chief Executives, Others","1120.9900","1211.90","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"10","Director, Quarry","1120.1500","1213.70","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"11","Executive Chef","1120.3100","1217.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"12","Director, Well Drilling","1120.1600","1213.80","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"13","Working Proprietor, Recreation and Entertainment","1120.3200","1218.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"14","Working Proprietor, Electricity","1120.0100","1211.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"15","Working Proprietor, Manufacturing/Proprietor, Manufacturing","1120.1700","1214.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"16","Director, Recreation and Entertainment","1120.3300","1218.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"17","Working Proprietor, Gas","1120.0200","1211.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"18","Director Manufacturing","1120.1800","1214.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"19","station Director, Radio/TV","1120.3400","1218.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"20","Working Proprietor, Water Supply","1120.0300","1211.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"21","Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade","1120.1900","1214.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"22","Account Director ( Advertising Agency)","1120.3401","","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"23","Director, Electricity","1120.0400","1211.40","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"24","Working Proprietor, Retail Trade/Proprietor, Retail Trade","1120.2000","1214.40","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"25","Sales Director (Media Org)","1120.3402","","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"26","Director, Gas","1120.0500","1211.50","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"27","Director, Wholesale Trade","1120.2100","1214.50","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"28","Working Proprietor, Other Services","1120.3500","1219.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"29","Director, Water Supply","1120.0600","1211.60","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"30","Director, Retail Trade","1120.2200","1214.60","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"31","Director, Other Services","1120.3600","1219.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"32","Director, Bank","1120.0700","1212.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"33","Working Proprietor, Transport","1120.2300","1215.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"34","Director, Museum/Zoo","1120.3700","1219.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"35","Director, Insurance","1120.0800","1212.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"36","Director, Transport","1120.2400","1215.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"37","Chief Librarian","1120.3800","1219.40","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"38","Working Proprietor, Mines/Proprietor, Mines","1120.0900","1213.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"39","Director, Communication","1120.2500","1215.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"40","Principal, College","1120.3900","1219.50","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"41","Working Proprietor, Quarry/Proprietor, Quarry","1120.1000","1213.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"42","Director, Airport","1120.2600","1215.40","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"43","Working Proprietor, Well Drilling/Proprietor, Well Drilling","1120.1100","1213.30","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"44","Working Proprietor, Storage and Warehousing","1120.2700","1216.10","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"45","Working Proprietor, Construction/Proprietor, Construction","1120.1200","1213.40","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"46","Director, Storage and Warehousing","1120.2800","1216.20","Managers","Chief Executives, Senior Officials and Legislators","Managing Directors and Chief Executives","Managing Directors and Chief Executives"
"47","Administrative Official, Union Government","1112.0100","1121.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"48","Diplomat","1112.0200","1121.20","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"49","Executive Officials, Union Government","1112.0300","1121.30","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"50","Administrative Official, State Government","1112.0400","1122.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"51","Executive Official, State Government","1112.0500","1122.20","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"52","Administrative and Executive Officials, Quasi Government (Central)","1112.0600","1123.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"53","Administrative & Executive Officials, Quasi Government (State)","1112.0700","1123.20","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"54","Administrative and Executive Officials, Local Bodies","1112.0800","1124.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"55","Senior Government Officials, Other","1112.9900","1129.90","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Government Officials"
"56","Elected Official, Local Bodies","1111.0300","1113.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Legislators"
"57","Elected Official, State Government","1111.0200","1112.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Legislators"
"58","Elected Official, Union Government","1111.0100","1111.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Legislators"
"59","Legislators, Other","1111.9900","1119.90","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Legislators"
"60","Political Worker","1114.0100","1141.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Officials of Special Interest Organizations"
"61","Senior Officials of Employers, Workers and Other Economic Interest Organizations","1114.0100","1142.00","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Officials of Special Interest Organizations"
"62","Director, Disaster Management Services","1114.0300","1143.10","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Officials of Special Interest Organizations"
"63","Senior Officials of Special Interest Organizations, Other","1114.9900","1143.90","Managers","Chief Executives, Senior Officials and Legislators","Legislators and Senior Officials","Senior Officials of Special Interest Organizations"
"64","Personnel Manager","1212.0100","1232.10","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Human Resource Managers"
"65","Personnel and Industrial Relations Managers, Others","1212.9900","1232.90","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Human Resource Managers"
"66","Manager, Automotive Service","1213.0100","1239.10","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Policy and Planning Managers"
"67","Quality Assurance Standards In-Charge","1213.0101","","Managers","Administrative and Commercial Managers","Business Services and Administration Managers","Policy and Planning Managers"
